,ID,Text,Sub-task A,Sub-task B,en_translation
0,C45.688,Dada taratari,NAG,NGEN,Brother soon
1,C45.635.5,Tumi korbe Amar sathe,NAG,NGEN,Will you with me
2,C47.103,Ar ta chara a sob bessha peter cheleder okhan diye dhukano dorkar,OAG,GEN,And without the need to hold the bessa Peter passed by the boys
3,C68.147,কাকের শরীরে ময়ুরের পাখা লাগিয়েছে,CAG,NGEN,Peacock feather set on the body of a crow
4,C45.615,"পতিতাদের চরিত্র রাজনৈতিক নেতাদের থেকে হাজার গুন ভাল । ওদের সততা আাছে । টাকা
মেরে দেয় না । ওদের আার ঘাটিওনা ভাই ।",NAG,NGEN,From the character of the political leaders in times of prostitutes. Aache their integrity. Do not give him the money. Their longer ghationa brother.
5,C68.303,Thik bolecho bhai,NAG,NGEN,"You're right, brother"
6,C68.384,Sali bikhari bikhari tahkbe,CAG,NGEN,Sister scattered scattered Thkbe
7,C44.146,অমানুষ,NAG,NGEN,Inhuman
8,C59.926,Ranur voice 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎eto karap gola,CAG,NGEN,Amanullah voice so karapa throat
9,C59.2012,সত্যি কথা বলার জন্য ধন্যবাদ,NAG,NGEN,Thank you for speaking the truth
10,C67.70,"যাই হোক সব ভুলে নতুন করে জিবন শুরু কর, ভূলটা তোরও ছিল",CAG,NGEN,"Anyway, forget all start a new life, and the mistake was united"
11,C68.475,এই মহিলা মানসিক রোগী,OAG,NGEN,The female mental patient
12,C68.1039,Dur sala,CAG,NGEN,tough room
13,C68.634,"Ranu mondol...gaan gaite e parena, ekdom faltu Gaan gai...r eto ohonkar
kisher....babba.... celebrity thike Abar ok bhikarir poth a fele din...tokhon
e bujhte parbe moja",CAG,NGEN,"Ranu mondal ... gaan gaite e parbe na, ekdom faltu Gaan gai ... r eto ohonkar kisher .... babba .... celebrity thike Abar ok bhikarir poth a fele din ... tokhon e bujhte parbe moja"
14,C44.313,Hindu jatta erokom hai,NAG,NGEN,Hindu Jatta is Erokom
15,C59.502,RANU PAGLI 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,CAG,NGEN,Ranu silly
