,ID,Text,Sub-task A,Sub-task B,en_translation
0,C4.131,"Bollywood film dekhne ke samay logic ghar mein chorke ana parta hain.  
Please logic mat ghusao",NAG,NGEN,Time to see Bollywood logic has come Chorke home. Please logic not hack
1,C4.638,Chutiya movie...,NAG,NGEN,Chutiya movie...
2,C38.598,"Us jaat bnde ka khene ka matlab tha mar daluga use but gand fat gyi camera
dekh ke chutiya sala shkl se hi frustrated lag rha hai for sure ye bnda andar
hi andar gay hoga but iski andar ita dum nahi hoga ki confess kre tabhi sala
age bhi apne bacho mai khaouf fila rha hai ..chutiya kahinka",OAG,NGEN,Us jaat bnde ka khene ka matlab tha mar daluga use but gand fat gyi camera dekh ke chutiya sala shkl se hi frustrated lag rha hai for sure ye bnda andar hi andar gay hoga but iski andar ita dum nahi hoga ki confess kre tabhi sala age bhi Apne Bacho Mai Khaouf Fila Rha Hai Kkchutiya Kahinka
3,C4.2101.1,"@Feminism Is CANCER *un feminist yeh sahi hai  
but iska matlab ye thodi na hai ki saare women ko gaali de  
agar ek insaan ne rape kiya to uske wajh se hume v rapist sunna parega kya?",OAG,NGEN,@Feminijm cancer * un feminist yeh sahi hai but iska matlab ye thodi na hai ki saare women ko gaali de agar ek insaan ne rape kiya to uske wajh se hume v rapist sunna parega kya?
4,C29.14.2,Amrit Anand अब तो जुड़े ही है उनको बोलो जुड़ने,NAG,NGEN,Amrit Anand now has linked them speak join
5,C7.787.3,"@Pankaj Chauhan abey tum jse aadmiyo ko ye lgta hai to yhi shi..  
Wse tumhare liye jaruri bhi hai..",NAG,NGEN,@ Pankaj Chauhan Abe if you think that the JSE men's right .. WSE is also important for you ..
6,C10.823,Kasturi is a jaahil,OAG,NGEN,Kasturi is a ignorant
7,C38.17,"isliya jat jhant hota hai....""main jat hu"".....use ye nehi pata Baki duniya
use jat nehi jhant bolte hai",OAG,NGEN,"Hence Jat Jhat .... ""I Jat"" ..... he did not know the rest of the world speak her Jat of themselves Jant"
8,C4.974,Lit sir🔥bhenco desh bhakti mai bhi item song pelenge 🤣😂,OAG,GEN,Lit Sirbenso items Song Pelenge on patriotism
9,C36.1070,"आर्मी में हमे मर्द चाहिए,हिजड़े नही ।",OAG,GEN,"Army should Gents us in, not eunuchs."
10,C7.2552,bro house of card ka review karona,NAG,NGEN,bro house of card ka review karona
11,C20.342.2,@Sucharita Tyagi chal jhutiiiii 😆😆,CAG,NGEN,@ Suchorita disposing of rice jhutiiiii
12,C7.204,Sahi bola bhai 🙌🙌gg,NAG,NGEN,Rightly said Brother cc
13,C4.1148,"Hello Mai ek human adviser hu Mai shwetabh gangwar sir bohot kuch shika
hu..but shwetabh sir har ek boy ya girl ke liye video to nhi bana sakhenge to
agar AP ko love break-up addition ect problem h to no-6200845455 contact me
10am to 8pm",NAG,NGEN,Hello Mai ek human adviser hu Mai shwetabh gangwar sir bohot kuch shika hu..but shwetabh sir har ek boy ya girl ke liye video to nhi bana sakhenge to agar AP ko love break-up addition ect problem h to no-6200845455 contact me 10am to 8pm
14,C7.1989,"Bhai, Apka Video Ka FPS 30 Hai... Good.. Keep It Up...",NAG,NGEN,"Brother, your video is 30 fps ... Good .. Keep IT equipment ..."
15,C21.95,"""Liberal bhi hai, Tolerant bhi hai!!!"" LoL",CAG,NGEN,"""Liberal is also Tolernt too !!!"" Lol"
16,C7.1471,"यह एक संवेदनशील,कठोर,सनक, बेपरवाह, दर्द देने वाला,प्रेम कहानी है",NAG,NGEN,"It is a sensitive, rigid, obsession, regardless, giving, love story pain"
17,C7.1878,"Prateek bhai dho dala....sachhi .....bht hi shaleenta se ...aur bht hi logical
hote hue apne answer diya h...... Feminists jo bhartiya Sanskriti per sawal
uthate h..... they must have to understand....BHARAT me Maa Durga ka place
sabse ucha dikhaya h ......ager ye samjh skte to😊",NAG,NGEN,Prateek Bhai Dho Dala .... Schi ..... bht hi shaleenta se ... aur bht hi logical hote hue apne answer diya h ...... Feminists jo bhartiya Sanskriti per sawal uthate h ..... They Must have to Understand .... BHARAT me Maa Durga ka place sabse ucha dikhaya h ...... ager ye samjh skte to
18,C36.627,"Indian soldier pakistani soldier ki gand ""marne"" wala chahiye ,nahi ki gand
""marvane"" wala",OAG,NGEN,"Indian soldier must stop ass Pakistani Soldier ""die"", not the ass with a ""killed"""
19,C7.2579,vai empress ki korian drama review koro,NAG,NGEN,There Empress korian to review old drama
20,C4.473.1,@execute sahi kaha bhai😅,NAG,NGEN,@ Aksekyute right brother
21,C9.238,"Is sarkaar pe ab kisi ko bharosa nahi , jis 1 saal ki bachi ko uske maa baap
se alag kar diya modi aur amit shah ne uska kya ? Arundhati is right",CAG,NGEN,"The government on no longer trust anyone, the 1-year-old separated from her parents Modi and Amit Shah What? Arundhati this right"
22,C21.147,10/10 ......ohhh...ab to dekhna padega bhai,NAG,NGEN,10/10 ...... Ohh ... now will see the brothers
23,C19.110,"Kya yaar review krne se phle likh lo thoda padh lo fir kro. Do minute aur de
deta to ye Pura kahani bta deta...  
This is not a review👎",CAG,NGEN,Then Have a read write down before man review. Two minutes and give it tells the whole story ... This Is Not Security Review
