ID,Text,Sub-task A,Sub-task B
C45.688,Dada taratari,NAG,NGEN
C45.635.5,Tumi korbe Amar sathe,NAG,NGEN
C47.103,Ar ta chara a sob bessha peter cheleder okhan diye dhukano dorkar,OAG,GEN
C68.147,কাকের শরীরে ময়ুরের পাখা লাগিয়েছে,CAG,NGEN
C45.615,"পতিতাদের চরিত্র রাজনৈতিক নেতাদের থেকে হাজার গুন ভাল । ওদের সততা আাছে । টাকা
মেরে দেয় না । ওদের আার ঘাটিওনা ভাই ।",NAG,NGEN
C68.303,Thik bolecho bhai,NAG,NGEN
C68.384,Sali bikhari bikhari tahkbe,CAG,NGEN
C44.146,অমানুষ,NAG,NGEN
C59.926,Ranur voice 👎👎👎👎👎👎👎👎👎👎👎👎👎👎👎eto karap gola,CAG,NGEN
C59.2012,সত্যি কথা বলার জন্য ধন্যবাদ,NAG,NGEN
C67.70,"যাই হোক সব ভুলে নতুন করে জিবন শুরু কর, ভূলটা তোরও ছিল",CAG,NGEN
C68.475,এই মহিলা মানসিক রোগী,OAG,NGEN
C68.1039,Dur sala,CAG,NGEN
C68.634,"Ranu mondol...gaan gaite e parena, ekdom faltu Gaan gai...r eto ohonkar
kisher....babba.... celebrity thike Abar ok bhikarir poth a fele din...tokhon
e bujhte parbe moja",CAG,NGEN
C44.313,Hindu jatta erokom hai,NAG,NGEN
C59.502,RANU PAGLI 🐗🐗🐗🐗🐗🐗🐀🐀🐀🐀🐶🐶🐶🐶🐶🐶,CAG,NGEN
C59.62,Tui ki ranu dir kom kichu,CAG,NGEN
C59.1269,Ar beasi din na ranu mandal,NAG,NGEN
C68.1320,কোথাকার ভিকারি,CAG,NGEN
C44.168,Kotha theke kuje eneche esob artist 😂😂😂😂😂😂😂😂,NAG,NGEN
C68.221,"Rana gahater lok ran a ghate takho
🤣🤣🤔🤔🤯",CAG,NGEN
C68.1121,রানুদি হাই কোটে গিয়ে ভিখা কোরতো............😁🤗😁.......,CAG,NGEN
C65.189.1,ha ha ha,NAG,NGEN
C68.1189,Akdom thik bolechen dada,NAG,NGEN
C59.397,Ja bole6o vai .....ekdom,NAG,NGEN
C45.317,"CAMERA KORTE SEKH BOKACHODA
TARPOR CHULKATE JABI",OAG,GEN
C68.624,Bhogoban ar chakor sobai,NAG,NGEN
C45.550,"সবাই ঠিক আছে, এ ভিডিওটা করছে ওদের কিছু কাস্টমার বাড়ানোর জন্যে আর কিছু না ।",NAG,NGEN
C45.186.3,Hmm,NAG,NGEN
C68.647,beti ta khub soytan bikari . manus re khub opman kore.,OAG,NGEN
C68.978,যেখান থেকে নিয়ে আসা হয়েছে আবার সেখানে গিয়ে রেখে আসুন,CAG,NGEN
C44.237.2,"@FunMasti Tv are bokachoda cam ar jonno nittisto akta Manus thakbe taibole
bonke noy janoyarbacha Tora to maa bon ke chudis Tora ai pobitro somporko ki
bujbi",OAG,GEN
C45.573,"Upni bodhoy jan nijer jonno kotha sune tai to mone hochhe. Upner moto muske ei
video korar jonno to juto peta kora uchid. Karon upni abar oder choto kore
nije imcum korte chaichen",OAG,NGEN
C68.1112,ami prothom theke Procchondo kortam na ranu ke,CAG,NGEN
C59.2058,"ভাহ ভাতিজা ভাহ চমতকার, তোমার কথা",NAG,NGEN
C68.1090,বাস দাও,NAG,NGEN
C68.675,Kak ke moyur banano jabena,CAG,NGEN
C45.721,Kosto laglo...😢😢😢,NAG,NGEN
C45.553,"কি দরকার ছিল এই ভিডিও বানানোর, পেটের দায়ে শরীর বেচছে, ভদ্রলোকের বাড়িতে কতো
মেয়ে এই কাজ করছে, এরা তো নেহাতই পেটের দায়ে করছে",NAG,GEN
