ID,Text,Sub-task A,Sub-task B
C45.451,Next part,NAG,NGEN
C47.11,"Iii8mllllllm
Mdxfvb8o90lplppi0005",NAG,NGEN
C33.79,🤣🤣😂😂🤣🤣🤣😂osm vedio ....keep it up...make more vedios like this,NAG,NGEN
C4.1961,"What the fuck was this? I respect shwetabh and i have been watching his videos
for quite a long time but this review was shit. Nobody wants to watch the
movie for reality or blah. You dont watch movies for inspiration you would
rather read books and biographies. Yes its true that some people are getting
influenced and doing all shitty fuckery but just think. Anyone who takes this
movie seriouslyis already a chutiya. And you dont go to theatre in india for
some reality shit and if u really seek reality and logical scripts and
characters without plotholes and all then you wouldnt be watching kabir singh.
So I think you just made this for views,  
cause theres no need for this so called raw review. And one thing you acted
like u forgot the movie name like seriously you know the whole story and you
pronounced this overhyped mess wrongly? Oh common!!!😂",NAG,NGEN
C10.153,"Concerned authorities should bring arundathi Roy and other these type of
people before the law of the land.for giving anti national statements",NAG,NGEN
C10.761,"It seems like these people want to be famous nothing more they don't care if
people die by their hateful talks.",NAG,NGEN
C25.6,Best topic for Law Students !,NAG,NGEN
C7.1642,"Even when kabir singh was unaware that Preeti is having his son he was ready
to accept other's baby and was ready to give his name though that was his baby
but still he was ready to accept preeti even after thinking she has sex with
other guy and feminists would not see this.",CAG,NGEN
C10.152.1,She is wrong .,NAG,NGEN
C45.217,6001733614,NAG,NGEN
C63.126,Hindi old muvi,NAG,NGEN
C67.24,rait,NAG,NGEN
C7.1601,"Very well said dude, totally agree.",NAG,NGEN
C59.1096,👌👌👌👌👌right,NAG,NGEN
C7.2097.2,"@Dushant Sain EXACTLY!!!!! don't we just go to see a movie to comprehend what
the director and the story telling has to offer.... it's about understanding
the Movie not Making all the things shown in the movie to the heart.",CAG,NGEN
C4.2264,Our Role Model - Shwetabh > Kabir ❤️,NAG,NGEN
C7.15.4,"@usher luck well i am from haryana. A small city called hisar. You can give me
your number if u want but frankly i will not give you mine. I would like you
as a friend. If you would like we can chat on facebook though",NAG,NGEN
C10.353,she best arbitrator in kamatipura & sonargachi area settlements,NAG,NGEN
C4.2138.1,Yeah man **Fuck Bollywood** and become **mature** in real life!,NAG,NGEN
C59.1085,"It Calls Uneducated Person means Unexpected Behavior 🤣😂🤣😂..
Thoko like",CAG,NGEN
C4.2120.2,"Sahi kaha 😂🤣  
Logic level ---- Bollywood",NAG,NGEN
C38.482,its not good i think its all dimaghi keeda being a gay or lesbian..,NAG,GEN
C4.1274,giving the movie review of super 30?,NAG,NGEN
C9.159,"Saurabh Dwivedi sir, i appreciate you for maintaining neutral view of point.
As for now, we have two media one modi loving and 2nd is modi hating. But you
are neutral",NAG,NGEN
C10.155,"Why can't the Indian government take serious actions to those who talk against
the nation or anyone who involved in instigating any sort of violence or
disturbing the peace of the nation. Freedom of speech doesn't allow anyone to
go anti-national. This bitch (Arundhati Roy) has already given such statements
that are anti-national on numerous occasions but she is still living freely.
It's high time for the government to pass a law against these bastards, it
doesn't matter who you are.",NAG,GEN
C4.1106.1,Exactly. That was 100000000000x better than shitty kabir singh.,NAG,NGEN
C4.1751,Chhichhore review,NAG,NGEN
C63.205.2,@mohammad ismail xc,NAG,NGEN
C7.240,"feminism means equality not discrimination first you should learn about this
go and study about feminism.",OAG,NGEN
C4.2144.2,Like Baahubali.,NAG,NGEN
C7.2578,"will blockbuster Kabir singh..  
Yes : Like  
No : Comment  
  
all the best shahid ji😍👇👇  
From Rebal star prabhas Fans",NAG,NGEN
C4.1394,"Full support 💪🙌 bro  
Keep it up 👍",NAG,NGEN
C10.431,"I literally cannot imagine a scenario where I'd be watching content from this
channel, leave alone penning down a comment. I personally abhor this
propaganda infused right-wing program and have reported it multiple times.
It's in the best interest of the nation if it ceases to exist from the digital
platforms and is confined to television only. Nevertheless, needed to get
certain thoughts off of my chest so here goes:  
1\. Stop broadcasting these staged debates that resemble poorly produced
b-grade flicks at best. The background score during the intro, the
participants who are more like the bickering neighborhood aunties than
dignified panelists, etc. stink of sub-standard nonsense. Stop fooling the
public.  
2\. Instead of all this nonsense, why the hell can't you show how the PM and
Home Minister have successfully confused the nation and are literally behaving
like clueless self-contradicting juveniles?  
3\. With a few days left for 2020, our nation is yet to overcome the confines
of religion. I had high hopes for my country and had started believing that we
would achieve great heights in the field of Science and Technology that would
put us in the big leagues, but no, we are all weighed down by this archaic
concept (read religion) and have ensured that progress is a goal that is quite
far from our reaches.  
A note to Republic TV:  
Instead of showing all this nonsense about anti-nationals, lutyens and what
not please focus on key items that are deterring our nation (unemployment,
poor economy,etc.). The mass does not care about the sub-standard reporting
you do on these ridiculous theories. They want some concrete information that
the news channels alone can provide.",NAG,NGEN
C4.1512,I was waiting for it.... Very honest opinion,NAG,NGEN
C59.1980,OMG 😱,NAG,NGEN
C33.76,Llovu,NAG,NGEN
C59.924,You are Right broo thanks,NAG,NGEN
C10.333,"she is castigating our citizens to direspect our country and its law .who
donkys gave her Booker prize .she is mocking and insulting our country and
behaving like wicked and crafty woolf . shame on you .you wampnthi . q
chutyapnti kar rahi ho . jai hnind .jay jagat .",NAG,NGEN
C33.785,"Watch this amazing video
[https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop](https://www.youtube.com/watch?v=S6g_W2nTcvQ&app=desktop)",NAG,NGEN
C26.284,hats off brother,NAG,NGEN
C7.1599,Too much spoiler 🙄🙄🙄 Change Title 😒😒,NAG,NGEN
C10.628,"but can you catch them, no....if yes fial complian agaist them in court and
punish then and put them in jail..but you cant//this is the fact...she is the
danderous lady and you are helpless..court are reluktunt to punish them",NAG,NGEN
C7.1035,"By the way i myself being a 21st century modern girl, i did not watch four
more shots as i found the trailer and the interviews of the cast very
disturbing. Feminism is losing it’s real agenda i.e equality of gender, but
becoming an advocate of all sort of sexual shit. Feminism is much more than
sexual freedom, i request all my fellow girls to not get carried away by such
ideas.",CAG,NGEN
C68.1288,Ranu is a bad girl 👍👍😸😆😂,NAG,NGEN
C58.442,"Looks like a ghost, real conjuring",CAG,NGEN
C4.1389,The world needs more men like you,NAG,NGEN
C7.1876,**Correct**,NAG,NGEN
C7.1986.1,"@Pratik Borade just saw 2 mins of the video you recommend and seems like you
write your own dictionary. Sorry but I would be following other dictionaries
like Cambridge and merriam webster.",CAG,NGEN
C4.1285,"The whole Bollywood premise is showing a life people dream about and not
realism. It's a form of escapism from reality.",NAG,NGEN
C4.1622,"Salute to you sir,great thinking",NAG,NGEN
C57.6,"Watch this song..Awesome
<https://youtu.be/4Ax1099ML-Q>",NAG,NGEN
C59.1974,Very very nice Bor,NAG,NGEN
C33.193,Very nice video,NAG,NGEN
C4.1177.3,Epic movie,NAG,NGEN
C4.1318,"I had head ache during this movie and also post movie.. I simply hated the
movie , completely disagreed and indigestible plot... & people were like how
can u dislike the movie.. whereas I'm shocked what is there to be liked except
the songs...",OAG,NGEN
C59.327,Super bro,NAG,NGEN
C44.86,"Good job,,plz sub",NAG,NGEN
C7.2582,Weren't you a liberal yourself?😂,NAG,NGEN
C4.1291,That is why I like amir khan,NAG,NGEN
